address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
309 W 30th St APT 3E,New York,NY,10001,2800/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/309-W-30th-St-APT-3E-New-York-NY-10001/2126925304_zpid/
NA,NA,NA,NA,033151402026005,NA,NA,NA,NA,777 6th Avenue,NA
NA,NA,NA,NA,027461387525546,NA,NA,NA,NA,For Rent,NA
284 5th Ave # 3B,New York,NY,10001,2595/000000,531.0,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/284-5th-Ave-3B-New-York-NY-10001/98975653_zpid/
NA,NA,NA,NA,033331428526990,NA,NA,NA,NA,800 Sixth,NA
NA,NA,NA,NA,038151476527250,NA,NA,NA,NA,Beatrice,NA
NA,NA,NA,NA,028851354025865,NA,NA,NA,NA,AVA High Line,NA
448 7th Ave # 4,New York,NY,10001,2700/000000,1000.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/448-7th-Ave-4-New-York-NY-10001/2091341541_zpid/
NA,NA,NA,NA,030551363027155,NA,NA,NA,NA,Avalon West Chelsea,NA
NA,NA,NA,NA,0290025800,NA,NA,NA,NA,Chelsea Towers,NA
NA,NA,NA,NA,03557141102758139686,NA,NA,NA,NA,The Eugene,NA
NA,NA,NA,NA,0365514495,NA,NA,NA,NA,For Rent,NA
1182 Broadway APT 8B,New York,NY,10001,6499/000000,975.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1182-Broadway-APT-8B-New-York-NY-10001/2091359953_zpid/
NA,NA,NA,NA,032501433326510,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,035571391726978,NA,NA,NA,NA,For Rent,NA
540 W 28th St APT 8E,New York,NY,10001,4750/000000,776.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/540-W-28th-St-APT-8E-New-York-NY-10001/112089031_zpid/
NA,NA,NA,NA,24099,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,1509528495313070,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,03050130952395038575,NA,NA,NA,NA,For Rent,NA
885 6th Ave APT 20G,New York,NY,10001,3872/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/885-6th-Ave-APT-20G-New-York-NY-10001/2091396272_zpid/
(Undisclosed Address),New York,NY,10001,4350/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/(Undisclosed-Address)-New-York-NY-10001/2113887192_zpid/
NA,NA,NA,NA,0332313646,NA,NA,NA,NA,The Epic,NA
143 W 30th St APT 5A,New York,NY,10001,3300/000000,643.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/143-W-30th-St-APT-5A-New-York-NY-10001/121187093_zpid/
NA,NA,NA,NA,0225012800,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,1355024350,NA,NA,NA,NA,For Rent,NA
334 9th Ave APT 4R,New York,NY,10001,2995/000000,NA,1.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/334-9th-Ave-APT-4R-New-York-NY-10001/2105500836_zpid/
440 W 34th St APT 15F,New York,NY,10001,2400/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/440-W-34th-St-APT-15F-New-York-NY-10001/2115334157_zpid/
455 W 34th St APT 2D,New York,NY,10001,2050/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/455-W-34th-St-APT-2D-New-York-NY-10001/2115351015_zpid/
NA,NA,NA,NA,0320014010,NA,NA,NA,NA,For Rent,NA
W 26th St,New York,NY,10001,6395/000000,NA,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/W-26th-St-New-York-NY-10001/2091483940_zpid/
252 7th Ave APT 5Q,New York,NY,10001,8300/000000,1563.0,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/252-7th-Ave-APT-5Q-New-York-NY-10001/55501414_zpid/
148 W 28th St APT 5W,New York,NY,10001,9425/000000,2000.0,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/148-W-28th-St-APT-5W-New-York-NY-10001/2113445469_zpid/
146 W 28th St APT 4E,New York,NY,10001,8575/000000,2000.0,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/146-W-28th-St-APT-4E-New-York-NY-10001/2101944523_zpid/
NA,NA,NA,NA,23200,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,1435024350,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,038901421326207,NA,NA,NA,NA,For Rent,NA
330 8th Ave APT 4C,New York,NY,10001,3000/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/330-8th-Ave-APT-4C-New-York-NY-10001/2124688083_zpid/
NA,NA,NA,NA,1293324440,NA,NA,NA,NA,For Rent,NA
374 8th Ave # TOP,New York,NY,10001,2900/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/374-8th-Ave-TOP-New-York-NY-10001/2107336724_zpid/
NA,NA,NA,NA,0265224795,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,029351399525810,NA,NA,NA,NA,For Rent,NA
401 W 25th St APT 12G,New York,NY,10001,3945/000000,898.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/401-W-25th-St-APT-12G-New-York-NY-10001/2091564289_zpid/
NA,NA,NA,NA,1313025310,NA,NA,NA,NA,For Rent,NA
500 W 30th St APT 8D,New York,NY,10001,5450/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/500-W-30th-St-APT-8D-New-York-NY-10001/2091579685_zpid/
(Undisclosed Address),New York,NY,10001,3795/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/(Undisclosed-Address)-New-York-NY-10001/2114373831_zpid/
345 W 30th St APT 6B,New York,NY,10001,2808/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/345-W-30th-St-APT-6B-New-York-NY-10001/2105677798_zpid/
245 W 25th St APT 4E,New York,NY,10001,7900/000000,900.0,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/245-W-25th-St-APT-4E-New-York-NY-10001/2115045582_zpid/
430 W 34th St APT 5J,New York,NY,10001,2200/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/430-W-34th-St-APT-5J-New-York-NY-10001/2104394735_zpid/
NA,NA,NA,NA,0275713412,NA,NA,NA,NA,Magellan The,NA
420 W 25th St APT 6K,New York,NY,10001,4000/000000,830.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/420-W-25th-St-APT-6K-New-York-NY-10001/89336098_zpid/
334 9th Ave APT 4R,New York,NY,10001,2995/000000,NA,1.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/334-9th-Ave-APT-4R-New-York-NY-10001/2105500836_zpid/
440 W 34th St APT 15F,New York,NY,10001,2400/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/440-W-34th-St-APT-15F-New-York-NY-10001/2115334157_zpid/
455 W 34th St APT 2D,New York,NY,10001,2050/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/455-W-34th-St-APT-2D-New-York-NY-10001/2115351015_zpid/
NA,NA,NA,NA,0320014010,NA,NA,NA,NA,For Rent,NA
W 26th St,New York,NY,10001,6395/000000,NA,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/W-26th-St-New-York-NY-10001/2091483940_zpid/
252 7th Ave APT 5Q,New York,NY,10001,8300/000000,1563.0,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/252-7th-Ave-APT-5Q-New-York-NY-10001/55501414_zpid/
148 W 28th St APT 5W,New York,NY,10001,9425/000000,2000.0,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/148-W-28th-St-APT-5W-New-York-NY-10001/2113445469_zpid/
146 W 28th St APT 4E,New York,NY,10001,8575/000000,2000.0,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/146-W-28th-St-APT-4E-New-York-NY-10001/2101944523_zpid/
NA,NA,NA,NA,23200,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,1435024350,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,038901421326207,NA,NA,NA,NA,For Rent,NA
330 8th Ave APT 4C,New York,NY,10001,3000/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/330-8th-Ave-APT-4C-New-York-NY-10001/2124688083_zpid/
NA,NA,NA,NA,1293324440,NA,NA,NA,NA,For Rent,NA
374 8th Ave # TOP,New York,NY,10001,2900/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/374-8th-Ave-TOP-New-York-NY-10001/2107336724_zpid/
NA,NA,NA,NA,0265224795,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,029351399525810,NA,NA,NA,NA,For Rent,NA
401 W 25th St APT 12G,New York,NY,10001,3945/000000,898.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/401-W-25th-St-APT-12G-New-York-NY-10001/2091564289_zpid/
NA,NA,NA,NA,1313025310,NA,NA,NA,NA,For Rent,NA
500 W 30th St APT 8D,New York,NY,10001,5450/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/500-W-30th-St-APT-8D-New-York-NY-10001/2091579685_zpid/
(Undisclosed Address),New York,NY,10001,3795/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/(Undisclosed-Address)-New-York-NY-10001/2114373831_zpid/
345 W 30th St APT 6B,New York,NY,10001,2808/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/345-W-30th-St-APT-6B-New-York-NY-10001/2105677798_zpid/
245 W 25th St APT 4E,New York,NY,10001,7900/000000,900.0,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/245-W-25th-St-APT-4E-New-York-NY-10001/2115045582_zpid/
430 W 34th St APT 5J,New York,NY,10001,2200/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/430-W-34th-St-APT-5J-New-York-NY-10001/2104394735_zpid/
NA,NA,NA,NA,0275713412,NA,NA,NA,NA,Magellan The,NA
420 W 25th St APT 6K,New York,NY,10001,4000/000000,830.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/420-W-25th-St-APT-6K-New-York-NY-10001/89336098_zpid/
19 Clinton St APT 404,New York,NY,10002,3400/000000,675.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/19-Clinton-St-APT-404-New-York-NY-10002/2091327516_zpid/
144 Ludlow St # MC4BB8R2V,New York,NY,10002,3494/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/144-Ludlow-St-MC4BB8R2V-New-York-NY-10002/2091571082_zpid/
125 Orchard St # 3C,New York,NY,10002,3395/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/125-Orchard-St-3C-New-York-NY-10002/2091331228_zpid/
107 Eldridge St APT 2B,New York,NY,10002,1975/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/107-Eldridge-St-APT-2B-New-York-NY-10002/2093294999_zpid/
100 Madison St # 5A,New York,NY,10002,2300/000000,600.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/100-Madison-St-5A-New-York-NY-10002/2091337425_zpid/
144 Orchard St APT 4A,New York,NY,10002,2500/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/144-Orchard-St-APT-4A-New-York-NY-10002/2092424453_zpid/
73 Monroe St # A1,New York,NY,10002,2400/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/73-Monroe-St-A1-New-York-NY-10002/2091341538_zpid/
4 Orchard St # 5C,New York,NY,10002,2349/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/4-Orchard-St-5C-New-York-NY-10002/2091345134_zpid/
NA,NA,NA,NA,1270622725,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,13295,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,0297914165,NA,NA,NA,NA,250 East Houston Street,NA
NA,NA,NA,NA,2319534195,NA,NA,NA,NA,129 Orchard St,NA
NA,NA,NA,NA,15670,NA,NA,NA,NA,Chrystie Place,NA
54 Allen St # 6,New York,NY,10002,2850/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/54-Allen-St-6-New-York-NY-10002/2091353656_zpid/
31 Monroe St PH D,New York,NY,10002,3099/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/31-Monroe-St-PH-D-New-York-NY-10002/2091355703_zpid/
195 Bowery FL 4,New York,NY,10002,4995/000000,1605.0,1.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/195-Bowery-FL-4-New-York-NY-10002/2093746375_zpid/
155 Ridge St APT 3E,New York,NY,10002,3495/000000,504.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/155-Ridge-St-APT-3E-New-York-NY-10002/2105299267_zpid/
105 Bowery # 2,New York,NY,10002,8250/000000,1975.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/105-Bowery-2-New-York-NY-10002/2091362883_zpid/
135 Eldridge St APT 6C,New York,NY,10002,3500/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/135-Eldridge-St-APT-6C-New-York-NY-10002/2091366736_zpid/
NA,NA,NA,NA,12195,NA,NA,NA,NA,For Rent,NA
31 Monroe St APT 10D,New York,NY,10002,3100/000000,750.0,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/31-Monroe-St-APT-10D-New-York-NY-10002/112086509_zpid/
12 Delancey St APT 2A,New York,NY,10002,2700/000000,600.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/12-Delancey-St-APT-2A-New-York-NY-10002/2091369333_zpid/
248 Broome St APT 20,New York,NY,10002,2321/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/248-Broome-St-APT-20-New-York-NY-10002/2103492671_zpid/
179 Essex St APT 3,New York,NY,10002,3995/000000,600.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/179-Essex-St-APT-3-New-York-NY-10002/2127023744_zpid/
146 Orchard St APT 4A,New York,NY,10002,2500/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/146-Orchard-St-APT-4A-New-York-NY-10002/2118449709_zpid/
146 Orchard St APT 4A,New York,NY,10002,2500/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/146-Orchard-St-APT-4A-New-York-NY-10002/2118449709_zpid/
35 Market St # A,New York,NY,10002,2300/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/35-Market-St-A-New-York-NY-10002/2091382325_zpid/
164 Ludlow St APT 14A,New York,NY,10002,3300/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/164-Ludlow-St-APT-14A-New-York-NY-10002/2091387189_zpid/
190 Norfolk St APT 1,New York,NY,10002,3100/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/190-Norfolk-St-APT-1-New-York-NY-10002/2096839775_zpid/
NA,NA,NA,NA,12250,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,34500,NA,NA,NA,NA,For Rent,NA
203 Rivington St # 4GG,New York,NY,10002,3900/000000,1000.0,3.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/203-Rivington-St-4GG-New-York-NY-10002/2091394838_zpid/
261 Broome St APT 2G,New York,NY,10002,2350/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/261-Broome-St-APT-2G-New-York-NY-10002/2116416715_zpid/
153 Essex St APT 5C,New York,NY,10002,3200/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/153-Essex-St-APT-5C-New-York-NY-10002/2124681399_zpid/
NA,NA,NA,NA,01795,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,033251450026840,NA,NA,NA,NA,The Ludlow,NA
NA,NA,NA,NA,02000,NA,NA,NA,NA,For Rent,NA
42 Clinton St APT 9,New York,NY,10002,3100/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/42-Clinton-St-APT-9-New-York-NY-10002/2123934061_zpid/
NA,NA,NA,NA,12850,NA,NA,NA,NA,For Rent,NA
572 Grand St APT G503,New York,NY,10002,2650/000000,800.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/572-Grand-St-APT-G503-New-York-NY-10002/2091396191_zpid/
74 Forsyth St # 23,New York,NY,10002,2860/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/74-Forsyth-St-23-New-York-NY-10002/2091396239_zpid/
NA,NA,NA,NA,22800,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,02300,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,0219923799,NA,NA,NA,NA,For Rent,NA
191 Henry St APT 14,New York,NY,10002,2200/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/191-Henry-St-APT-14-New-York-NY-10002/2103035024_zpid/
153 Norfolk St APT 1D,New York,NY,10002,2280/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/153-Norfolk-St-APT-1D-New-York-NY-10002/2114739172_zpid/
120 Ridge St APT 6C,New York,NY,10002,4550/000000,NA,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/120-Ridge-St-APT-6C-New-York-NY-10002/2098507341_zpid/
55 Hester St APT 6A,New York,NY,10002,3600/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/55-Hester-St-APT-6A-New-York-NY-10002/112510522_zpid/
NA,NA,NA,NA,22600,NA,NA,NA,NA,For Rent,NA
157 Rivington St APT 10,New York,NY,10002,2330/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/157-Rivington-St-APT-10-New-York-NY-10002/2100188455_zpid/
205 Allen St APT 25,New York,NY,10002,3100/000000,700.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/205-Allen-St-APT-25-New-York-NY-10002/2100478733_zpid/
101 Allen St # F,New York,NY,10002,1850/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/101-Allen-St-F-New-York-NY-10002/2091439692_zpid/
243 Henry St # 17AB,New York,NY,10002,3620/000000,NA,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/243-Henry-St-17AB-New-York-NY-10002/2091439805_zpid/
19 Eldridge St APT 13,New York,NY,10002,2277/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/19-Eldridge-St-APT-13-New-York-NY-10002/2091439807_zpid/
NA,NA,NA,NA,0215012600,NA,NA,NA,NA,For Rent,NA
166 Orchard St APT 2A,New York,NY,10002,2495/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/166-Orchard-St-APT-2A-New-York-NY-10002/2117515425_zpid/
235 Eldridge St APT 17,New York,NY,10002,3200/000000,NA,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/235-Eldridge-St-APT-17-New-York-NY-10002/2095953501_zpid/
151 Norfolk St APT 6C,New York,NY,10002,3500/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/151-Norfolk-St-APT-6C-New-York-NY-10002/2091439893_zpid/
78 Orchard St APT 3A,New York,NY,10002,2399/000000,700.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/78-Orchard-St-APT-3A-New-York-NY-10002/2095611234_zpid/
NA,NA,NA,NA,33850,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,1232023000,NA,NA,NA,NA,For Rent,NA
56 Hester St APT 3F,New York,NY,10002,3500/000000,NA,3.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/56-Hester-St-APT-3F-New-York-NY-10002/2091456465_zpid/
114 Suffolk St APT 2A,New York,NY,10002,2000/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/114-Suffolk-St-APT-2A-New-York-NY-10002/2091466758_zpid/
65 Ludlow St APT 12,New York,NY,10002,2995/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/65-Ludlow-St-APT-12-New-York-NY-10002/2108500636_zpid/
NA,NA,NA,NA,11995,NA,NA,NA,NA,For Rent,NA
29 Clinton St APT 1D,New York,NY,10002,3255/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/29-Clinton-St-APT-1D-New-York-NY-10002/2091474525_zpid/
87 Attorney St APT 1D,New York,NY,10002,5600/000000,NA,4.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/87-Attorney-St-APT-1D-New-York-NY-10002/2091478403_zpid/
55 Delancey St APT 1F,New York,NY,10002,3195/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/55-Delancey-St-APT-1F-New-York-NY-10002/2111437869_zpid/
44 Henry St APT 14,New York,NY,10002,2699/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/44-Henry-St-APT-14-New-York-NY-10002/2104601378_zpid/
NA,NA,NA,NA,3449545400,NA,NA,NA,NA,For Rent,NA
20 Clinton St APT 3D,New York,NY,10002,3900/000000,985.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/20-Clinton-St-APT-3D-New-York-NY-10002/55500786_zpid/
105 Madison St APT 5,New York,NY,10002,3000/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/105-Madison-St-APT-5-New-York-NY-10002/2091487499_zpid/
104 Suffolk St APT 4,New York,NY,10002,3250/000000,950.0,1.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/104-Suffolk-St-APT-4-New-York-NY-10002/2111482785_zpid/
NA,NA,NA,NA,24200,NA,NA,NA,NA,For Rent,NA
154 Allen St APT 2A,New York,NY,10002,4795/000000,950.0,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/154-Allen-St-APT-2A-New-York-NY-10002/2120169988_zpid/
38 Eldridge St APT 12,New York,NY,10002,2000/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/38-Eldridge-St-APT-12-New-York-NY-10002/2091492724_zpid/
247 Eldridge St APT 3B,New York,NY,10002,3350/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/247-Eldridge-St-APT-3B-New-York-NY-10002/2091492763_zpid/
387 Grand St APT K1202,New York,NY,10002,3100/000000,830.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/387-Grand-St-APT-K1202-New-York-NY-10002/72511089_zpid/
126 Rivington St APT 5A,New York,NY,10002,4800/000000,NA,3.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/126-Rivington-St-APT-5A-New-York-NY-10002/2131985300_zpid/
139 Eldridge St # ZERO,New York,NY,10002,2150/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/139-Eldridge-St-ZERO-New-York-NY-10002/2091492914_zpid/
319 E Houston St APT 2A,New York,NY,10002,5100/000000,NA,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/319-E-Houston-St-APT-2A-New-York-NY-10002/2091492958_zpid/
NA,NA,NA,NA,0285012850,NA,NA,NA,NA,For Rent,NA
40 Rivington St APT 13,New York,NY,10002,2399/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/40-Rivington-St-APT-13-New-York-NY-10002/2106031628_zpid/
239 Henry St # Q2,New York,NY,10002,2595/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/239-Henry-St-Q2-New-York-NY-10002/2091496120_zpid/
125 Madison St APT 15,New York,NY,10002,2000/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/125-Madison-St-APT-15-New-York-NY-10002/2091496905_zpid/
162 Stanton St APT A,New York,NY,10002,2150/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/162-Stanton-St-APT-A-New-York-NY-10002/2104343074_zpid/
NA,NA,NA,NA,14450,NA,NA,NA,NA,For Rent,NA
75 Orchard St APT 30,New York,NY,10002,3995/000000,NA,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/75-Orchard-St-APT-30-New-York-NY-10002/2114396857_zpid/
195 Madison St APT 10A,New York,NY,10002,2775/000000,NA,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/195-Madison-St-APT-10A-New-York-NY-10002/2091514853_zpid/
157 Suffolk St APT 500,New York,NY,10002,3000/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/157-Suffolk-St-APT-500-New-York-NY-10002/2101931909_zpid/
113 Eldridge St # 5,New York,NY,10002,1950/000000,350.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/113-Eldridge-St-5-New-York-NY-10002/2091522019_zpid/
NA,NA,NA,NA,12175,NA,NA,NA,NA,For Rent,NA
163 Chrystie St APT 9,New York,NY,10002,2400/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/163-Chrystie-St-APT-9-New-York-NY-10002/2117110019_zpid/
NA,NA,NA,NA,1257522635,NA,NA,NA,NA,For Rent,NA
